dox0_sh,paste_into_igv_junction,dox0125,dox0187,dox021,dox025,dox075,timing_shsy5y,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,timing_be2,max_psi_be2,junction_for_clustering,gene,strand,junction_cat,cryptic,ID_exon,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,last_exon
0.317,chr17:27617428-27623314,0.317,0.503,0.637,0.641,0.711,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,KSR1,+,donor,no,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.336,chrX:65524262-65524564,0.336,0.336,0.336,0.336,0.622,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,LAS1L,-,donor,no,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.011,chr5:78647574-78648499,0.011,0.15,0.15,0.15,0.27,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,LHFPL2,-,acceptor,yes,233,0.579492582,-5.493328327,8,1.25943618,-0.922760597,5,NA,NA,NA,FALSE
0.656,chr7:39779385-39780503,0.656,0.853,0.904,0.86,0.962,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,LINC00265,+,donor,no,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr14:47768910-47789906,NA,NA,NA,NA,NA,NA,NA,0.363,0.363,0.612,0.654,0.638,0.689,0.714,0.683,Early,Medium,yes,LINC00648,-,annotated,no,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr19:27727979-27732796,NA,NA,NA,NA,NA,NA,NA,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.436,Late,Bottom,yes,LINC00662,-,annotated,no,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.012,chr12:91993529-91994507,0.012,0.012,0.012,0.088,0.251,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,LINC01619,-,donor,yes,237,5.648337694,-4.821251886,6,-0.85965393,-2.511185641,5,NA,NA,NA,FALSE
NA,chr2:242116232-242118965,NA,NA,NA,NA,NA,NA,NA,0.549,0.549,0.549,0.908,0.921,0.953,0.956,0.971,Early,Top,yes,LINC01881,+,annotated,no,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:242114741-242116183,NA,NA,NA,NA,NA,NA,NA,0.609,0.609,0.609,0.953,0.924,0.984,0.971,0.97,Early,Medium,no,LINC01881,+,annotated,no,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:65048212-65051279,NA,NA,NA,NA,NA,NA,NA,0.053,0.053,0.053,0.312,0.312,0.312,0.312,0.308,Early,Bottom,yes,LINC02245,-,annotated,yes,239,-0.584716921,9.284993344,9,NA,NA,NA,0.122170265,0.379021645,4,FALSE
NA,chr2:65051337-65055915,NA,NA,NA,NA,NA,NA,NA,0.007,0.007,0.007,0.269,0.269,0.269,0.269,0.267,Early,Bottom,no,LINC02245,-,annotated,yes,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.005,chr16:911079-933991,0.008,0.036,0.005,0.03,0.226,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,LMF1,-,donor,yes,240,7.627925703,-3.481397218,2,-1.535512133,-4.600211448,1,NA,NA,NA,FALSE
NA,chr1:53271346-53274643,NA,NA,NA,NA,NA,NA,NA,0.022,0.152,0.211,0.195,0.288,0.242,0.276,0.265,Early,Bottom,no,LRP8,-,skip,yes,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:53274820-53275631,NA,NA,NA,NA,NA,NA,NA,0.101,0.295,0.394,0.374,0.462,0.462,0.509,0.461,Early,Medium,yes,LRP8,-,novel_acceptor,no,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.323,chr2:237756187-237758729,0.777,0.777,0.777,0.777,0.813,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,LRRFIP1,+,donor,no,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.153,chr16:228402-229279,0.153,0.153,0.153,0.153,0.445,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,LUC7L,-,acceptor,no,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:39428287-39429242,NA,NA,NA,NA,NA,NA,NA,0.659,0.659,0.979,0.986,0.995,0.998,0.984,0.998,Early,Medium,yes,MACF1,+,annotated,no,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:39427614-39427961,NA,NA,NA,NA,NA,NA,NA,0.674,0.674,0.98,0.986,0.995,0.998,0.986,0.998,Early,Medium,no,MACF1,+,annotated,no,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr11:47325032-47326544,0.003,0.169,0.178,0.194,0.316,Early,Medium,0.001,0.001,0.001,0.266,0.354,0.425,0.484,0.517,Early,Top,yes,MADD,+,novel_donor,yes,245,-2.27174228,3.131413091,4,1.241123912,-0.605599333,5,-1.379910828,1.04755441,4,FALSE
NA,chr11:47325032-47326738,NA,NA,NA,NA,NA,Early,NA,0.001,0.001,0.001,0.001,0.156,0.3,0.3,0.3,Early,Medium,no,MADD,+,novel_donor,yes,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr11:47325032-47328658,NA,NA,NA,NA,NA,Early,NA,0,0,0,0,0.08,0.186,0.167,0.171,Early,Bottom,no,MADD,+,skip,yes,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.038,chr15:90902526-90903231,0.186,0.186,0.262,0.262,0.255,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MAN2A2,+,skip,yes,246,-2.426428618,-6.784632695,7,2.824742384,0.450886945,2,NA,NA,NA,FALSE
NA,chrX:20050946-20052878,NA,NA,NA,NA,NA,NA,NA,0.435,0.435,0.826,0.884,0.916,0.878,0.871,0.885,Earli,Top,yes,MAP7D2,-,annotated,no,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chrX:20044524-20050824,NA,NA,NA,NA,NA,NA,NA,0.397,0.397,0.751,0.781,0.879,0.837,0.837,0.863,Earli,Top,no,MAP7D2,-,annotated,no,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.439,chr10:48420320-48424514,0.439,0.683,0.687,0.76,0.72,Early,Medium,0.317,0.317,0.534,0.641,0.606,0.585,0.647,0.65,Early,Medium,yes,MAPK8,+,skip,no,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.416,chr10:48424585-48425888,0.416,0.615,0.65,0.681,0.68,Early,Bottom,0.315,0.315,0.544,0.592,0.595,0.638,0.59,0.612,Early,Medium,no,MAPK8,+,annotated,no,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr16:1745103-1747029,NA,NA,NA,NA,NA,NA,NA,0.071,0.071,0.071,0.317,0.286,0.301,0.367,0.374,Early,Medium,yes,MAPK8IP3,+,annotated,no,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr5:180287067-180291848,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.251,Earli,Bottom,no,MAPK9,-,annotated,yes,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr5:180280608-180286975,NA,NA,NA,NA,NA,NA,NA,0.088,0.088,0.428,0.428,0.423,0.423,0.423,0.591,Earli,Top,yes,MAPK9,-,annotated,no,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.065,chr5:16180079-16180426,0.065,0.148,0.148,0.148,0.373,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MARCHF11,-,acceptor,no,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr12:116054357-116096669,0.003,0.003,0.003,0.28,0.284,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MED13L,-,acceptor,yes,252,5.345638703,-5.335296292,6,-0.530782041,-1.719305372,5,NA,NA,NA,FALSE
0.003,chr12:116022601-116054245,0.003,0.003,0.003,0.187,0.204,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,MED13L,-,donor,yes,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.002,chr15:37096430-37097934,0.002,0.112,0.183,0.256,0.382,Intermediate,Medium,0.001,0.001,0.001,0.001,0.152,0.2,0.2,0.267,Intermediate,Bottom,yes,MEIS2,-,novel_donor,yes,253,-2.203541804,3.786219267,4,0.912286174,0.605114383,2,1.908634952,-2.659033978,3,FALSE
NA,chr15:37095614-37099455,NA,NA,NA,NA,NA,Intermediate,NA,0.005,0.005,0.005,0.005,0.005,0.005,0.241,0.342,Intermediate,Medium,no,MEIS2,-,novel_exon_skip,yes,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.445,chr16:635774-636094,0.445,0.445,0.445,0.445,0.716,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,METTL26,-,acceptor,no,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.041,chr2:171392197-171433026,0.143,0.293,0.293,0.293,0.329,Early,Medium,0.03,0.03,0.374,0.425,0.496,0.496,0.496,0.453,Earli,Top,yes,METTL8,-,annotated,yes,255,-3.263356871,3.342335745,4,2.587922462,1.180590254,2,-0.219459321,1.67327864,4,FALSE
0.139,chr17:76737091-76738282,0.139,0.17,0.139,0.117,0.427,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MFSD11,+,acceptor,no,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.166,chr2:190499856-190500015,0.166,0.32,0.32,0.301,0.522,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MFSD6,+,donor,no,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr5:180809076-180809795,0.001,0.091,0.068,0.104,0.336,Intermediate,Medium,0,0,0,0,0.301,0.497,0.497,0.511,Intermediate,Top,yes,MGAT1,-,novel_donor,yes,258,-1.691140269,3.186380736,4,-0.634265154,-1.413624089,5,-2.147848241,-0.395329475,2,FALSE
0.001,chr17:76937368-76937988,0.001,0.157,0.234,0.496,0.796,Early,Top,0.002,0.002,0.002,0.415,0.708,0.89,0.89,0.89,Early,Top,yes,MGAT5B,+,novel_donor,yes,259,-4.121310557,2.304430045,3,0.85672413,4.870235627,4,-1.211281502,3.940188726,1,FALSE
0.002,chr17:76933297-76937229,0.002,0.002,0.168,0.393,0.775,Early,Top,0.001,0.001,0.001,0.3,0.568,0.78,0.783,0.79,Early,Top,no,MGAT5B,+,novel_acceptor,yes,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.418,chr16:2205875-2206031,0.418,0.418,0.418,0.549,0.707,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MLST8,+,donor,no,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.011,chr17:2388049-2400640,0.011,0.011,0.011,0.011,0.218,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MNT,-,skip,yes,261,7.8830274,-3.422029242,2,-1.439802952,-4.741930194,1,NA,NA,NA,FALSE
0.104,chr17:43883355-43884084,0.213,0.547,0.547,0.552,0.552,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MPP2,-,donor,no,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.085,chr17:43884155-43898262,0.085,0.401,0.391,0.461,0.471,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,MPP2,-,acceptor,no,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.738,chr1:167773368-167776064,0.738,0.863,0.883,0.903,0.96,Intermediate,Bottom,0.62,0.62,0.62,0.826,0.825,0.82,0.843,0.879,Early,Bottom,yes,MPZL1,+,annotated,no,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.697,chr1:167776166-167787820,0.697,0.8,0.817,0.855,0.916,Intermediate,Bottom,0.618,0.618,0.618,0.618,0.618,0.618,0.832,0.847,Early,Bottom,no,MPZL1,+,annotated,no,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr14:105468349-105469467,NA,NA,NA,NA,NA,NA,NA,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.89,Late,Bottom,yes,MTA1,+,annotated,no,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.356,chr2:241099894-241102253,0.356,0.536,0.536,0.536,0.686,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MTERF4,-,acceptor,no,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.006,chr5:7878322-7885701,0.006,0.27,0.234,0.414,0.414,Early,Top,0.001,0.001,0.242,0.315,0.401,0.401,0.401,0.401,Early,Medium,yes,MTRR,+,novel_exon_skip,yes,266,-3.18224974,3.502258245,4,1.587113393,2.570894785,2,-0.052360413,1.205189441,4,FALSE
0.015,chr16:70666396-70668999,0.015,0.078,0.065,0.434,0.405,Intermediate,Top,0.016,0.069,0.285,0.285,0.285,0.285,0.285,0.377,Early,Medium,yes,MTSS2,-,none,yes,267,-2.852923309,3.58285348,4,-0.357086301,0.160574628,5,0.363966953,0.646691277,4,FALSE
0.012,chr16:70669046-70674306,0.012,0.145,0.174,0.179,0.172,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,Early,NA,no,MTSS2,-,acceptor,yes,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.027,chr12:109594903-109595028,0.027,0.027,0.027,0.027,0.429,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MVK,+,donor,yes,268,4.993033718,-3.190158723,2,-2.863819559,-2.186823223,1,NA,NA,NA,FALSE
0.248,chr4:678029-678658,0.574,0.61,0.613,0.87,0.87,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,MYL5,+,donor,no,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.25,chr4:676209-677922,0.25,0.478,0.478,0.575,0.715,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,MYL5,+,acceptor,no,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr12:56160320-56160626,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.706,Late,Bottom,yes,MYL6,+,annotated,no,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr17:29122253-29131383,0.001,0.148,0.148,0.118,0.278,Intermediate,Medium,0.002,0.002,0.002,0.002,0.1,0.384,0.384,0.438,Late,Top,yes,MYO18A,-,novel_exon_skip,yes,271,-1.251950271,3.298182497,4,1.322281858,-0.998906633,5,-1.644848025,-1.694385623,2,FALSE
0.021,chr17:29122253-29124653,0.021,0.058,0.021,0.219,0.302,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,Late,NA,no,MYO18A,-,donor,yes,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.005,chr17:29131442-29165942,0.005,0.005,0.005,0.005,0.367,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,Late,NA,no,MYO18A,-,acceptor,yes,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr19:17203004-17203147,0.001,0.001,0.135,0.299,0.395,Intermediate,Top,0.001,0.001,0.001,0.001,0.352,0.447,0.443,0.641,Intermediate,Top,yes,MYO9B,+,annotated,yes,272,-2.036471853,3.110605847,4,-0.208046428,0.058165576,5,-2.203551608,-0.535842795,2,FALSE
0.003,chr11:71499039-71501302,0.003,0.003,0.003,0.003,0.197,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NADSYN1,+,donor,yes,273,8.343328218,-3.416126471,2,-1.391942937,-5.255543579,1,NA,NA,NA,FALSE
0.046,chr1:201803714-201804489,0.046,0.204,0.286,0.433,0.839,Early,Top,0.005,0.005,0.005,0.005,0.295,0.371,0.466,0.44,Intermediate,Top,yes,NAV1,+,annotated,yes,274,-2.281784186,3.401357862,4,1.021640424,5.006124653,4,-2.019512354,-1.022428255,2,FALSE
0.041,chr1:201804497-201807953,0.041,0.16,0.269,0.441,0.83,Early,Top,0.005,0.005,0.005,0.005,0.278,0.352,0.445,0.433,Intermediate,Top,no,NAV1,+,annotated,yes,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.591,chr11:20051333-20054080,0.591,0.591,0.591,0.591,0.84,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NAV2,+,donor,no,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.299,chr13:35452235-35472400,0.299,0.41,0.41,0.371,0.691,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NBEA,+,donor,no,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.184,chr1:16607691-16608508,0.184,0.184,0.184,0.289,0.384,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NBPF1,-,acceptor,no,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr11:113246370-113255877,NA,NA,NA,NA,NA,NA,NA,0.567,0.567,0.567,0.794,0.818,0.805,0.787,0.787,Early,Bottom,yes,NCAM1,+,annotated,no,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr11:113235164-113246368,NA,NA,NA,NA,NA,NA,NA,0.569,0.569,0.569,0.798,0.818,0.808,0.793,0.788,Early,Bottom,no,NCAM1,+,annotated,no,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr7:158646563-158652293,NA,NA,NA,NA,NA,NA,NA,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.426,Late,Bottom,yes,NCAPG2,-,skip,no,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.391,chr2:24768135-24768221,0.391,0.536,0.536,0.536,0.705,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NCOA1,+,donor,no,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.494,chr2:24762776-24768079,0.494,0.494,0.494,0.494,0.799,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NCOA1,+,acceptor,no,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr6:125885343-125888939,NA,NA,NA,NA,NA,NA,NA,0.36,0.36,0.632,0.693,0.685,0.75,0.705,0.746,Early,Medium,yes,NCOA7,+,annotated,no,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr4:169508331-169537809,NA,NA,NA,NA,NA,NA,NA,0.459,0.459,0.673,0.688,0.671,0.766,0.758,0.737,Early,Medium,yes,NEK1,-,skip,no,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr19:13024723-13025021,0.001,0.001,0.001,0.041,0.383,Late,Top,0,0,0,0.065,0.112,0.189,0.156,0.286,Early,Medium,yes,NFIX,+,annotated,yes,283,-0.012272873,2.854871904,5,-2.912268976,-2.604758792,1,1.957484597,-2.68864049,3,FALSE
NA,chr19:13024719-13025021,NA,NA,NA,NA,NA,Late,NA,0,0,0,0.151,0.33,0.369,0.544,0.559,Early,Top,no,NFIX,+,annotated,yes,283,-1.241397356,9.600222634,9,NA,NA,NA,-1.825367515,0.291652094,2,FALSE
NA,chr19:13024034-13024535,NA,NA,NA,NA,NA,Late,NA,0.001,0.001,0.001,0.088,0.143,0.186,0.27,0.268,Early,Bottom,no,NFIX,+,novel_acceptor,yes,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr16:14724523-14725020,NA,NA,NA,NA,NA,NA,NA,0.029,0.7,0.715,0.892,0.892,0.892,0.892,0.892,Earli,Top,yes,NPIPA3,+,novel_acceptor,no,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr16:29403840-29404003,NA,NA,NA,NA,NA,NA,NA,0.004,0.287,0.287,0.297,0.297,0.297,0.27,0.279,Early,Bottom,yes,NPIPB11,-,novel_donor,yes,285,-0.751823731,9.118412985,9,NA,NA,NA,0.384408058,0.959860204,4,FALSE
0.033,chr16:21419766-21424979,0.033,0.008,0.033,0.008,0.277,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NPIPB3,-,skip,no,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr8:31640729-31708272,NA,NA,NA,NA,NA,NA,NA,0.093,0.093,0.448,0.448,0.448,0.485,0.523,0.786,Earli,Top,yes,NRG1,+,novel_acceptor,no,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr10:121971069-121973523,0.001,0.001,0.001,0.001,0.204,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NSMCE4A,-,donor,yes,288,8.059321627,-3.301691519,2,-1.35500306,-5.181038085,1,NA,NA,NA,FALSE
0.007,chr17:30118173-30163067,0.007,0.007,0.007,0.007,0.163,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NSRP1,+,acceptor,no,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.151,chr11:72012442-72012895,0.151,0.151,0.151,0.151,0.378,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NUMA1,-,acceptor,no,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.013,chr9:128948628-128949189,0.013,0.013,0.013,0.013,0.628,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NUP188,+,donor,yes,291,4.938275557,-3.138628319,2,-3.162403266,-1.963394101,1,NA,NA,NA,FALSE
0.001,chr9:128956174-128956350,0.001,0.001,0.001,0.001,0.862,Intermediate,Top,0,0,0,0,0,0.217,0.421,0.776,Late,Top,yes,NUP188,+,ambig_gene,yes,292,-1.831088094,3.393744264,4,-3.284161193,-1.728206848,1,-2.034901667,-1.889199671,2,FALSE
0.001,chr9:128952846-128956141,0.001,0.001,0.001,0.158,0.859,Intermediate,Top,0,0,0,0,0,0,0.47,0.886,Late,Top,no,NUP188,+,ambig_gene,yes,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.006,chr14:24412691-24412997,0.149,0.58,0.804,0.942,0.991,Earli,Top,0.025,0.025,0.562,0.963,0.972,0.982,0.972,0.971,Earli,Top,yes,NYNRIN,+,annotated,yes,293,-4.926802706,2.367648166,3,0.771956162,6.918939623,3,-1.11702757,5.491818575,1,FALSE
NA,chr14:24411450-24412644,NA,NA,NA,NA,NA,Earli,NA,0.001,0.001,0.214,0.314,0.317,0.374,0.374,0.335,Earli,Medium,no,NYNRIN,+,novel_acceptor,yes,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr14:24411451-24412593,NA,NA,NA,NA,NA,Earli,NA,0.038,0.038,0.334,0.647,0.64,0.609,0.65,0.631,Earli,Top,no,NYNRIN,+,novel_combo,yes,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.012,chr1:228224544-228244382,0.012,0.012,0.012,0.012,0.465,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,OBSCN,+,skip,yes,294,4.989839232,-3.147453423,2,-3.056237002,-2.09945868,1,NA,NA,NA,FALSE
0.774,chr10:49738262-49739661,0.774,0.887,0.896,0.89,0.986,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,OGDHL,-,donor,no,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.697,chr10:49749816-49750839,0.697,0.833,0.817,0.817,0.928,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,OGDHL,-,acceptor,no,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.764,chr10:49747208-49749726,0.764,0.764,0.764,0.764,0.966,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,OGDHL,-,donor,no,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.071,chr9:135088139-135090195,0.071,0.071,0.071,0.071,0.551,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,OLFM1,+,donor,no,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.099,chr22:30881802-30887426,0.099,0.099,0.099,0.099,0.43,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,OSBP2,+,donor,no,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.042,chr10:133389747-133390907,0.273,0.273,0.792,0.97,0.972,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,PAOX,+,acceptor,yes,299,-6.680072399,-6.886303362,1,0.639914333,6.745311746,3,NA,NA,NA,FALSE
0.019,chr10:133391154-133391312,0.011,0.019,0.336,0.336,0.295,Earli,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,PAOX,+,donor,yes,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr21:45755452-45788298,0.003,0.003,0.003,0.161,0.23,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,PCBP3,+,acceptor,yes,300,5.552789461,-4.9731062,6,-0.438271803,-2.359348925,5,NA,NA,NA,FALSE
0,chr19:33501001-33507343,0,0.115,0.119,0.135,0.22,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,PEPD,-,donor,yes,301,0.553131141,-5.470030267,8,1.256363147,-1.094241347,5,NA,NA,NA,FALSE
0.001,chr10:3099819-3101365,0.001,0.148,0.246,0.673,0.962,Early,Top,0.002,0.002,0.569,0.823,0.972,0.983,0.968,0.949,Earli,Top,yes,PFKP,+,novel_donor,yes,302,-4.451667851,2.311351134,3,1.059005244,5.340459186,4,-1.347064474,5.339222713,1,FALSE
0.001,chr10:3099352-3099557,0.001,0.211,0.189,0.679,0.949,Early,Top,0.002,0.002,0.459,0.749,0.832,0.923,0.888,0.853,Earli,Top,no,PFKP,+,novel_acceptor,yes,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr10:3125250-3129006,NA,NA,NA,NA,NA,NA,NA,0.053,0.053,0.17,0.262,0.322,0.303,0.37,0.372,Early,Medium,yes,PFKP,+,novel_combo,no,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr10:3125249-3129819,NA,NA,NA,NA,NA,NA,NA,0.059,0.059,0.149,0.249,0.349,0.326,0.322,0.324,Early,Bottom,no,PFKP,+,annotated,no,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.002,chr9:93660560-93661348,0.002,0.002,0.002,0.002,0.705,Late,Top,0,0,0,0,0,0,0,0.52,Late,Top,yes,PHF2,+,novel_acceptor,yes,304,-0.201737725,2.622558002,5,-3.223108318,-1.904547785,1,3.592777854,-5.680768844,5,TRUE
